"RelativePath","SizeBytes","SHA256"
"artifact_checksums.csv","8276","163dc3f908b93e34ea0d69d8efbab3a875eb5337b176af1a72453f7bee79d5ae"
"conda_explicit.txt","1710","22f3ecc486640172e01c74362b9e8cd082b8114f3fcc59a62b5af3c8135a451b"
"conda_info.json","5508","02f57561fda93b8df65787929545766465fc938dd220573eb6563b97f15534b6"
"conda_version.txt","17","4a6cb7281ff40aee1aa29297bf76ae2f7f3de682dafc7d2ed04480a27e4fbac8"
"config.json","2630","67a90447ec5e2073af35676a8b35522762242ef1add4738f03d9d47ccec88659"
"config_sha256.csv","135","83ba56d89513003354f8c71fe876011ddf03ffded20d85cee96398abf2544fc0"
"core_package_versions.txt","270","8c8853f5dfaa743fa0c1e0190a8cd1c9333e2363d2d9c717a7b161fb7fc3f1d5"
"environment.yml","1825","b5fdd1295a8b9c348878b3206fb1022da914e53c650bb3e55cebaa3083214a1b"
"ollama_list.txt","195","7e59c1d16423ceb6ef396c316535875fcf3ca89429c8eb017bf839dc77f01f52"
"ollama_model_digests.csv","473","ff6966ba2d425a756a747cd4ffb1f879c1079799576472c17a97b7eece22460f"
"ollama_models_full.json","2601","a258e21498c69dafa93b1e3d5e60539cfb6108fe6093490113fe89702180f1d8"
"ollama_show_llama3.1_8b.json","119280","1cf90918558e5a1ea64ecc01a43915d76bfdc3a17af80fa44398ee820866eefc"
"ollama_show_qwen2.5_7b-instruct.json","128765","5634b6b3f27669612a5bbdb42f521a0a56e6f678513c6aba33947bd9f1711fd0"
"ollama_version.txt","29","eeea6dc48d7bfe292ea0042d39a3cc2f7b60bf36c24b1cea5ef1b3a9236aa4b4"
"pip_check.txt","34","62a7bed1b63f3145e4a1f662db6de145fcc24a75271861405b20d49df601b4ee"
"pip_freeze.txt","937","6019b1d2358c94472421dce85020fb56b13ec26911469d16847df289d21dd49d"
"pipeline_sha256.csv","141","0b686000e2a5202c717d0d85614d1aa7680d7cac47ec16adea5126d930d1e05c"
"python_command.txt","104","c8c968b39076a6edb11c6ae76316d95d803554f3d3a5fcaa1b928f8110a9ce2e"
"python_version.txt","19","19879ab162b99be320c543601dd407d760383a2cec7acef1954d7f684c4ac29d"
"response_inventory.csv","5772","70cd904ecd03752f39d93ebb2c1def326cc12f895d1f99ace8c5d2518ed6e86a"
"salrm_pipeline.py","57332","8ae76ca88ee8af6059b1489e50429ebc876e9be19ddb2df74996523f5fefc764"
